ID,page type,content type,source type,commentary,last modified,notes
alamogordo_july9a.html,agg,mix,news,FALSE,2010-12-31T21:28:49+00:00,
atlanta_july9a.html,agg,mix,news,FALSE,2009-06-27T00:27:16+00:00,
b29_flight_july9.html,agg,mix,pub,TRUE,2017-06-18T17:33:21+00:00,
balloon_crashes.html,agg,mix,orig,FALSE,2017-06-18T17:32:44+00:00,
balloon_ufo_sightings.html,agg,txt,news,FALSE,2010-12-25T19:31:36+00:00,
balloon_use.html,agg,mix,news,FALSE,2017-06-18T17:33:02+00:00,
balloondemos.html,agg,mix,orig,FALSE,2017-06-18T17:32:43+00:00,
beams_symbols_compare.html,agg,img,pub,FALSE,2011-01-24T07:54:55+00:00,
benthal.html,agg,txt,pub,TRUE,2017-06-18T17:32:46+00:00,"Crash at Corona, Witness to Roswell"
brazel_interview.html,agg,txt,news,FALSE,2012-01-03T18:46:37+00:00,
bush_article.html,agg,txt,news,TRUE,2011-01-24T07:55:07+00:00,
cordon.html,agg,mix,pub,TRUE,2017-06-18T17:33:25+00:00,
debris_main.html,agg,txt,multi,FALSE,2017-06-18T17:32:48+00:00,
debris1_beams.html,agg,txt,multi,FALSE,2017-06-18T17:33:09+00:00,
debris2_memory_foil.html,agg,txt,multi,FALSE,2017-06-18T17:33:03+00:00,
debris3_misc_metal.html,agg,txt,multi,FALSE,2017-06-18T17:33:03+00:00,quotes
debris4_tape.html,agg,txt,multi,FALSE,2017-06-18T17:32:56+00:00,quotes
debris5_parchment.html,agg,txt,multi,FALSE,2017-06-18T17:32:53+00:00,
debris6_fibers.html,agg,txt,multi,FALSE,2017-06-18T17:33:09+00:00,consider whether sub and agg adress the same thign
debris7_quantity.html,agg,txt,multi,FALSE,2017-06-18T17:33:12+00:00,
debris8_misc.html,agg,txt,multi,FALSE,2017-06-18T17:32:54+00:00,
debris9_nanotech.html,agg,mix,pub,FALSE,2017-06-18T17:33:32+00:00,
dennis.html,agg,mix,pub,TRUE,2017-06-18T17:32:42+00:00,affidavit
dubose.html,agg,mix,pub,TRUE,2017-06-18T17:32:40+00:00,affidavit
eth-in-1947.html,agg,mix,pub,FALSE,2014-08-29T18:34:23+00:00,
eth-in-1947-2.html,agg,mix,pub,FALSE,2014-04-11T00:31:41+00:00,
exon.html,agg,txt,pub,FALSE,2017-06-18T17:32:59+00:00,
flying-saucers-not-spaceships.html,agg,img,news,FALSE,2013-01-28T20:58:17+00:00,
haut.html,agg,mix,pub,TRUE,2017-06-18T17:33:06+00:00,affidavit
henderson.html,agg,mix,pub,FALSE,2017-06-18T17:33:03+00:00,
lovekin.html,agg,mix,pub,TRUE,2017-06-18T17:32:40+00:00,affidavit
marcel_evaluations.html,agg,mix,orig,FALSE,2011-01-24T08:00:30+00:00,links to docs
nellis_compare.html,agg,img,pub,FALSE,2011-01-24T08:00:56+00:00,
nm_ufo_reports.html,agg,txt,news,TRUE,2014-04-12T03:45:23+00:00,
otherballoon.html,agg,mix,orig,FALSE,2017-06-18T17:32:41+00:00,
post-1947-roswell-references.html,agg,mix,news,FALSE,2016-04-09T20:51:54+00:00,
ramey_1952.html,agg,txt,news,TRUE,2011-01-24T08:04:22+00:00,
ramey_and_kalberer.html,agg,txt,news,TRUE,2014-05-07T00:28:16+00:00,
ramey_info.html,agg,mix,orig,FALSE,2017-06-18T17:33:25+00:00,
